"name","count","yf","y","m","d","ra_deg","ra_h","ra_m","ra_s","de_deg","de_d","de_m","de_s","oc_ra","oc_de","oc_ra_eps","oc_de_eps","oc_ra_sigma","oc_de_sigma"
"u4        ",5,2009.829646026,2009,10,30.82079948,353.8648875,23,35,27.573,-3.5180233333333,3,"31 ",4.884,0.037,0.011,0.024,0.027,0.054,0.061
"u3        ",5,2009.7722691295,2009,10,9.87823228,354.46447416667,23,37,51.4738,-3.2700183333333,3,"16 ",12.066,-0.013,0.11,0.032,0.035,0.072,0.079
"u2        ",5,2009.8323641401,2009,10,31.81291115,353.8392275,23,35,21.4146,-3.51374,3,"30 ",49.464,0.136,-0.077,0.072,0.045,0.16,0.1
"u3        ",5,2009.8323641401,2009,10,31.81291115,353.83823083333,23,35,21.1754,-3.5105355555556,3,"30 ",37.928,0.069,0.057,0.016,0.008,0.035,0.017
"u4        ",5,2009.8323641401,2009,10,31.81291115,353.8433125,23,35,22.395,-3.5295411111111,3,"31 ",46.348,0.069,0.033,0.014,0.02,0.032,0.045
"u3        ",5,2009.8405603583,2009,11,3.80453077,353.77681416667,23,35,6.4354,-3.5504372222222,3,"33 ",1.574,0.029,0.063,0.015,0.017,0.034,0.038
"u4        ",5,2009.8405603583,2009,11,3.80453077,353.77809583333,23,35,6.743,-3.5494216666667,3,"32 ",57.918,-0.029,-0.071,0.017,0.024,0.038,0.053
"u3        ",5,2009.8460313261,2009,11,5.80143404,353.7381025,23,34,57.1446,-3.5675294444444,3,"34 ",3.106,-0.011,0.087,0.018,0.022,0.039,0.05
"u4        ",5,2009.8460313261,2009,11,5.80143404,353.73525666667,23,34,56.4616,-3.5554772222222,3,"33 ",19.718,0.057,-0.039,0.032,0.031,0.071,0.07
"u4        ",5,2009.9580528216,2009,12,16.6892799,353.55341583333,23,34,12.8198,-3.6024022222222,3,"36 ",8.648,-0.022,-0.121,0.02,0.044,0.045,0.098
"u3        ",5,2009.9607808794,2009,12,17.68502096,353.56786,23,34,16.2864,-3.6105177777778,3,"36 ",37.864,-0.082,-0.028,0.013,0.021,0.03,0.047
"u4        ",5,2009.9607808794,2009,12,17.68502096,353.56406333333,23,34,15.3752,-3.5938227777778,3,"35 ",37.762,-0.023,-0.114,0.028,0.034,0.062,0.076
"u1        ",5,2009.9662457873,2009,12,19.67971236,353.59339666667,23,34,22.4152,-3.5945633333333,3,"35 ",40.428,-0.069,-0.394,0.052,0.084,0.116,0.189
"u3        ",5,2009.9662457873,2009,12,19.67971236,353.59439333333,23,34,22.6544,-3.5963372222222,3,"35 ",46.814,-0.029,-0.013,0.004,0.038,0.009,0.086
"u4        ",5,2009.9662457873,2009,12,19.67971236,353.58935833333,23,34,21.446,-3.5821294444444,3,"34 ",55.666,-0.051,-0.042,0.01,0.012,0.023,0.027
"u4        ",5,2010.6247594598,2010,8,17.03720281,0.08619,0,0,20.6856,-0.8026455555556,0,"48 ",9.524,-0.027,-0.091,0.021,0.024,0.048,0.054
"u2        ",5,2010.6329583737,2010,8,20.0298064,0.00532833333,0,0,1.2788,-0.8560083333333,0,"51 ",21.63,-0.081,0.143,0.023,0.043,0.052,0.097
"u3        ",5,2010.6329583737,2010,8,20.0298064,0.006725,0,0,1.614,-0.8577605555556,0,"51 ",27.938,-0.052,0.057,0.007,0.009,0.016,0.019
"u4        ",5,2010.6329583737,2010,8,20.0298064,0.00024416667,0,0,0.0586,-0.8457727777778,0,"50 ",44.782,-0.01,0.038,0.012,0.02,0.026,0.044
"u1        ",5,2010.6903222195,2010,9,9.96761011,359.3172575,23,57,16.1418,-1.1571166666667,-1," 9 ",25.62,0.153,-0.031,0.05,0.016,0.112,0.035
"u2        ",5,2010.6903222195,2010,9,9.96761011,359.31841,23,57,16.4184,-1.158425,-1," 9 ",30.33,0.059,-0.169,0.016,0.073,0.036,0.162
"u3        ",5,2010.6903222195,2010,9,9.96761011,359.31437833333,23,57,15.4508,-1.1453761111111,-1," 8 ",43.354,0.025,-0.069,0.011,0.012,0.025,0.028
"u3        ",5,2010.7640992405,2010,10,6.89622278,358.33403416667,23,53,20.1682,-1.56933,-1,"34 ",9.588,-0.016,0.017,0.024,0.019,0.054,0.042
"u2        ",5,2010.7750289196,2010,10,10.88555565,358.19703416667,23,52,47.2882,-1.6301594444444,-1,"37 ",48.574,0.224,-0.28,0.124,0.103,0.278,0.231
"u3        ",5,2010.7750289196,2010,10,10.88555565,358.20121,23,52,48.2904,-1.6429688888889,-1,"38 ",34.688,-0.053,0.158,0.006,0.022,0.014,0.049
"u4        ",5,2010.7750289196,2010,10,10.88555565,358.19526583333,23,52,46.8638,-1.62396,-1,"37 ",26.256,0.02,-0.16,0.007,0.035,0.016,0.078
"u4        ",5,2010.7750289196,2010,10,10.88555565,358.19526583333,23,52,46.8638,-1.62396,-1,"37 ",26.256,0.02,-0.16,0.007,0.035,0.016,0.078
"u4        ",5,2010.0017871492,2010,1,1.65230947,353.83178,23,35,19.6272,-3.4677783333333,3,"28 ",4.002,-0.033,-0.082,0.039,0.032,0.087,0.072
"u2        ",5,2010.7968850549,2010,10,18.86304506,357.93590083333,23,51,44.6162,-1.7405638888889,1,"44 ",26.03,0.238,-0.046,0.073,0.045,0.164,0.1
"u3        ",5,2010.7968850549,2010,10,18.86304506,357.93891583333,23,51,45.3398,-1.7537022222222,1,"45 ",13.328,0.072,0.05,0.015,0.019,0.033,0.042
"u4        ",5,2010.7968850549,2010,10,18.86304506,357.94053166667,23,51,45.7276,-1.7538927777778,1,"45 ",14.014,-0.151,0.044,0.02,0.019,0.044,0.043
"u3        ",5,2011.7723150967,2011,10,9.8950103,2.00586583333,0,8,1.4078,0.025535,0," 1 ",31.926,-0.105,0.096,0.014,0.011,0.03,0.024
"u4        ",5,2011.7723150967,2011,10,9.8950103,2.00214416667,0,8,0.5146,0.0416255555556,0," 2 ",29.852,-0.104,-0.01,0.007,0.01,0.016,0.023
"u3        ",5,2011.7613822338,2011,10,5.90451534,2.14838083333,0,8,35.6114,0.0995561111111,0," 5 ",58.402,-0.102,0.036,0.015,0.013,0.033,0.03
"u2        ",5,2011.676694521,2011,9,4.99350016,3.26495,0,13,3.588,0.5703644444444,0,"34 ",13.312,-0.151,-0.166,0.03,0.037,0.067,0.082
